71, Self-emp-not-inc, 116815, 11th, 7, Divorced, ?, Husband, White, Female, 2174, 0, 23, United-States, <=50K
46, ?, 231895, HS-grad, 9, Married-civ-spouse, Craft-repair, Own-child, Black, Male, 0, 0, 60, Mexico, <=50K
56, Private, 156431, Masters, 14, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 6, ?, >50K
32, ?, 74990, Masters, 14, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Female, 0, 1902, 7, Mexico, <=50K
72, Self-emp-not-inc, 297672, 11th, 7, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 45, ?, <=50K
29, Private, 90219, Masters, 14, Never-married, Craft-repair, Not-in-family, Black, Male, 2174, 0, 60, Mexico, >50K
60, Private, 70361, HS-grad, 9, Never-married, Exec-managerial, Wife, White, Male, 5013, 0, 69, ?, <=50K
18, Private, 289916, HS-grad, 9, Divorced, ?, Husband, White, Male, 0, 0, 31, United-States, <=50K
23, Private, 90490, HS-grad, 9, Divorced, ?, Not-in-family, White, Female, 0, 1902, 64, Mexico, <=50K
40, Private, 41431, Masters, 14, Never-married, Craft-repair, Own-child, Black, Female, 0, 0, 56, United-States, <=50K
17, Local-gov, 64472, HS-grad, 9, Divorced, ?, Husband, Asian-Pac-Islander, Male, 5013, 0, 38, Mexico, <=50K
42, Self-emp-not-inc, 192968, Bachelors, 13, Divorced, Exec-managerial, Own-child, White, Male, 2174, 0, 28, United-States, <=50K
17, Local-gov, 45988, Masters, 14, Never-married, Exec-managerial, Wife, Black, Female, 0, 1902, 28, ?, <=50K
48, Self-emp-not-inc, 82710, Bachelors, 13, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 37, Mexico, <=50K
58, ?, 25651, 11th, 7, Never-married, Exec-managerial, Wife, Black, Male, 0, 1902, 17, ?, <=50K
59, Private, 222596, 11th, 7, Never-married, ?, Own-child, White, Male, 2174, 0, 59, Mexico, <=50K
55, Local-gov, 211666, 11th, 7, Divorced, Exec-managerial, Own-child, Asian-Pac-Islander, Female, 0, 0, 42, United-States, <=50K
57, Self-emp-not-inc, 234331, Bachelors, 13, Divorced, ?, Not-in-family, Black, Male, 2174, 0, 45, United-States, <=50K
33, Self-emp-not-inc, 43820, HS-grad, 9, Divorced, Tech-support, Own-child, White, Female, 0, 0, 11, ?, <=50K
72, Private, 207011, 11th, 7, Divorced, Craft-repair, Not-in-family, Black, Female, 2174, 0, 58, Mexico, >50K
64, Self-emp-not-inc, 172111, Masters, 14, Divorced, Craft-repair, Husband, Black, Female, 0, 0, 69, ?, <=50K
60, Self-emp-not-inc, 166087, Masters, 14, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female, 0, 0, 12, United-States, <=50K
56, Private, 73723, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 52, Mexico, <=50K
38, ?, 89920, 11th, 7, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female, 0, 1902, 59, ?, <=50K
40, Self-emp-not-inc, 190598, Masters, 14, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female, 0, 0, 64, Mexico, <=50K
53, ?, 263013, Bachelors, 13, Married-civ-spouse, Tech-support, Not-in-family, Black, Male, 0, 0, 43, Mexico, <=50K
31, Local-gov, 191476, Masters, 14, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Female, 2174, 0, 61, ?, <=50K
42, Self-emp-not-inc, 64190, Masters, 14, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female, 2174, 1902, 29, ?, <=50K
70, Self-emp-not-inc, 112585, Masters, 14, Never-married, ?, Wife, White, Female, 0, 0, 25, ?, <=50K
68, ?, 53584, Masters, 14, Divorced, Exec-managerial, Not-in-family, Black, Male, 0, 0, 18, Mexico, <=50K
26, Private, 241276, Bachelors, 13, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male, 0, 1902, 55, Mexico, <=50K
48, ?, 57994, Masters, 14, Divorced, Tech-support, Own-child, Asian-Pac-Islander, Female, 0, 0, 53, United-States, <=50K
62, Private, 77633, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 1902, 26, Mexico, <=50K
35, Local-gov, 51041, HS-grad, 9, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female, 0, 0, 12, Mexico, <=50K
19, Local-gov, 76977, Bachelors, 13, Never-married, Craft-repair, Wife, White, Female, 5013, 0, 65, ?, <=50K
34, ?, 110446, HS-grad, 9, Married-civ-spouse, ?, Wife, Black, Female, 2174, 0, 16, Mexico, <=50K
77, Self-emp-not-inc, 221838, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 65, Mexico, >50K
55, Self-emp-not-inc, 237984, 11th, 7, Never-married, Exec-managerial, Husband, Black, Male, 5013, 0, 39, ?, <=50K
28, Private, 127113, Bachelors, 13, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 66, ?, <=50K
54, Local-gov, 29977, 11th, 7, Never-married, ?, Husband, Asian-Pac-Islander, Male, 0, 1902, 31, United-States, <=50K
70, Local-gov, 185726, 11th, 7, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Female, 0, 1902, 13, Mexico, <=50K
42, ?, 83907, Bachelors, 13, Divorced, ?, Not-in-family, Black, Male, 2174, 0, 42, ?, >50K
71, Self-emp-not-inc, 99760, Bachelors, 13, Married-civ-spouse, ?, Wife, Black, Female, 2174, 0, 37, United-States, <=50K
38, Local-gov, 163553, HS-grad, 9, Divorced, ?, Wife, Black, Female, 2174, 0, 18, United-States, <=50K
62, Self-emp-not-inc, 114304, Bachelors, 13, Never-married, ?, Not-in-family, Black, Male, 5013, 0, 17, United-States, <=50K
44, ?, 58106, Bachelors, 13, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, 0, 0, 54, Mexico, <=50K
63, ?, 186567, Masters, 14, Never-married, Tech-support, Wife, Black, Female, 0, 0, 44, ?, <=50K
30, Local-gov, 173866, 11th, 7, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male, 0, 0, 50, ?, <=50K
50, Self-emp-not-inc, 34002, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 1902, 58, ?, <=50K
72, Local-gov, 159548, Masters, 14, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female, 0, 0, 13, ?, >50K
74, Local-gov, 96356, Masters, 14, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male, 0, 0, 51, United-States, <=50K
42, Self-emp-not-inc, 92483, HS-grad, 9, Married-civ-spouse, ?, Not-in-family, White, Male, 0, 1902, 64, United-States, <=50K
42, Self-emp-not-inc, 196287, HS-grad, 9, Divorced, Craft-repair, Wife, White, Female, 5013, 0, 11, ?, >50K
48, Private, 266368, Bachelors, 13, Married-civ-spouse, ?, Own-child, Black, Male, 2174, 1902, 57, Mexico, <=50K
50, Local-gov, 295251, Bachelors, 13, Divorced, ?, Own-child, White, Male, 0, 0, 42, ?, <=50K
65, Local-gov, 56595, 11th, 7, Never-married, Tech-support, Own-child, White, Female, 5013, 1902, 11, Mexico, <=50K
59, ?, 143664, Bachelors, 13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male, 0, 0, 58, ?, <=50K
67, Self-emp-not-inc, 84904, Bachelors, 13, Divorced, ?, Not-in-family, Black, Male, 0, 0, 8, Mexico, >50K
45, ?, 94070, HS-grad, 9, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male, 0, 1902, 45, Mexico, <=50K
66, ?, 128269, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 65, United-States, >50K
32, Self-emp-not-inc, 46215, HS-grad, 9, Divorced, Tech-support, Wife, Asian-Pac-Islander, Male, 0, 0, 58, ?, <=50K
77, ?, 237669, HS-grad, 9, Never-married, Craft-repair, Husband, Black, Female, 0, 0, 39, United-States, <=50K
40, Private, 290486, HS-grad, 9, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female, 0, 0, 21, ?, <=50K
45, Private, 298298, Bachelors, 13, Never-married, Tech-support, Wife, Asian-Pac-Islander, Female, 0, 1902, 16, United-States, <=50K
34, Private, 117706, Masters, 14, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male, 2174, 0, 68, United-States, >50K
58, Local-gov, 188192, HS-grad, 9, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 26, United-States, <=50K
52, Local-gov, 143699, 11th, 7, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, 5013, 1902, 38, United-States, <=50K
72, Self-emp-not-inc, 190422, HS-grad, 9, Never-married, Tech-support, Own-child, Black, Male, 5013, 1902, 38, United-States, <=50K
53, Self-emp-not-inc, 96667, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 68, United-States, <=50K
27, ?, 258307, HS-grad, 9, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 10, United-States, <=50K
46, Private, 21753, 11th, 7, Never-married, ?, Husband, White, Male, 2174, 0, 65, Mexico, >50K
62, Self-emp-not-inc, 175032, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, Black, Male, 2174, 0, 34, Mexico, <=50K
76, Self-emp-not-inc, 40800, Masters, 14, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 64, Mexico, <=50K
20, Self-emp-not-inc, 239394, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female, 0, 1902, 31, Mexico, <=50K
47, ?, 277013, HS-grad, 9, Divorced, Craft-repair, Own-child, White, Female, 5013, 1902, 58, United-States, <=50K
34, Private, 292054, Bachelors, 13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female, 0, 0, 18, Mexico, <=50K
66, Local-gov, 91874, Bachelors, 13, Never-married, Tech-support, Not-in-family, Black, Male, 2174, 1902, 15, Mexico, <=50K
50, Private, 178459, Masters, 14, Married-civ-spouse, Craft-repair, Own-child, White, Female, 0, 0, 70, ?, <=50K
43, ?, 270936, HS-grad, 9, Divorced, Craft-repair, Wife, Black, Male, 2174, 1902, 23, United-States, >50K
41, Local-gov, 138512, Masters, 14, Never-married, Exec-managerial, Wife, Black, Female, 5013, 0, 22, United-States, <=50K
68, Local-gov, 55078, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 16, Mexico, <=50K
48, ?, 192062, Bachelors, 13, Married-civ-spouse, ?, Wife, White, Female, 0, 1902, 30, Mexico, <=50K
32, Private, 199219, HS-grad, 9, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female, 0, 0, 7, Mexico, <=50K
75, ?, 162607, Bachelors, 13, Never-married, ?, Own-child, Asian-Pac-Islander, Female, 0, 1902, 46, Mexico, <=50K
37, Local-gov, 175876, Bachelors, 13, Married-civ-spouse, Craft-repair, Own-child, Black, Male, 5013, 0, 51, United-States, >50K
56, ?, 237878, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, Black, Male, 2174, 1902, 54, United-States, <=50K
40, ?, 31062, HS-grad, 9, Never-married, Craft-repair, Wife, White, Female, 0, 0, 35, ?, <=50K
52, ?, 61440, Bachelors, 13, Divorced, Exec-managerial, Wife, Black, Female, 0, 0, 45, ?, >50K
78, Self-emp-not-inc, 104426, HS-grad, 9, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female, 0, 0, 58, Mexico, <=50K
32, Local-gov, 190386, Masters, 14, Divorced, Craft-repair, Husband, White, Female, 0, 0, 44, United-States, <=50K
56, ?, 272691, 11th, 7, Never-married, Exec-managerial, Wife, Black, Female, 5013, 1902, 37, ?, >50K
37, Self-emp-not-inc, 195028, Masters, 14, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female, 0, 0, 25, United-States, <=50K
35, Self-emp-not-inc, 116807, HS-grad, 9, Never-married, ?, Husband, Black, Female, 0, 1902, 37, ?, <=50K
25, Private, 102473, 11th, 7, Divorced, Tech-support, Not-in-family, White, Female, 0, 0, 20, Mexico, <=50K
71, ?, 109773, Masters, 14, Married-civ-spouse, Tech-support, Wife, Black, Male, 0, 0, 55, ?, <=50K
41, Self-emp-not-inc, 168211, 11th, 7, Never-married, ?, Husband, White, Male, 5013, 0, 67, Mexico, <=50K
18, Local-gov, 95307, Bachelors, 13, Married-civ-spouse, ?, Wife, Black, Male, 0, 0, 66, United-States, >50K
26, Private, 23737, Masters, 14, Married-civ-spouse, Tech-support, Not-in-family, White, Female, 0, 1902, 22, United-States, <=50K
39, ?, 50222, 11th, 7, Never-married, Exec-managerial, Wife, White, Female, 0, 0, 61, ?, >50K
77, Self-emp-not-inc, 82272, Bachelors, 13, Divorced, Tech-support, Wife, Black, Male, 0, 0, 13, ?, <=50K
21, Local-gov, 25782, 11th, 7, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male, 2174, 1902, 44, ?, <=50K
62, ?, 151329, Bachelors, 13, Divorced, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 46, Mexico, <=50K
40, ?, 205624, Masters, 14, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 38, Mexico, <=50K
64, Self-emp-not-inc, 179637, HS-grad, 9, Divorced, Craft-repair, Husband, Black, Male, 0, 0, 23, Mexico, >50K
17, ?, 283492, Masters, 14, Never-married, ?, Not-in-family, Black, Male, 5013, 0, 7, United-States, <=50K
23, Local-gov, 245500, Masters, 14, Married-civ-spouse, Craft-repair, Own-child, Black, Male, 0, 0, 13, ?, <=50K
66, Local-gov, 295297, 11th, 7, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female, 0, 0, 49, Mexico, <=50K
64, ?, 248683, 11th, 7, Divorced, ?, Own-child, Black, Male, 5013, 0, 53, ?, >50K
45, ?, 168990, Bachelors, 13, Divorced, Tech-support, Not-in-family, Black, Male, 0, 1902, 47, Mexico, <=50K
52, ?, 47507, Masters, 14, Never-married, ?, Not-in-family, White, Male, 0, 0, 19, United-States, <=50K
72, Private, 199529, Masters, 14, Married-civ-spouse, Exec-managerial, Own-child, White, Female, 5013, 0, 59, United-States, >50K
32, Private, 76240, 11th, 7, Divorced, ?, Own-child, White, Female, 0, 1902, 12, ?, <=50K
28, Private, 194980, Bachelors, 13, Never-married, Exec-managerial, Husband, Black, Male, 0, 1902, 28, ?, <=50K
56, ?, 276464, 11th, 7, Never-married, Tech-support, Husband, Asian-Pac-Islander, Male, 0, 0, 60, Mexico, <=50K
71, Local-gov, 129356, Bachelors, 13, Divorced, Craft-repair, Husband, White, Female, 0, 1902, 10, United-States, <=50K
39, Local-gov, 181081, Masters, 14, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 44, Mexico, >50K
34, ?, 216406, HS-grad, 9, Divorced, ?, Wife, Black, Male, 0, 0, 17, Mexico, >50K
24, Local-gov, 84582, 11th, 7, Married-civ-spouse, Tech-support, Own-child, White, Male, 2174, 1902, 30, ?, <=50K
21, Local-gov, 239728, 11th, 7, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male, 0, 0, 6, ?, <=50K
25, Local-gov, 223473, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Male, 5013, 0, 17, Mexico, <=50K
18, Local-gov, 35868, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male, 0, 1902, 14, Mexico, <=50K
47, Private, 136521, HS-grad, 9, Never-married, ?, Own-child, White, Female, 5013, 0, 12, United-States, <=50K
76, Self-emp-not-inc, 291506, 11th, 7, Divorced, Craft-repair, Own-child, Black, Female, 0, 1902, 17, ?, <=50K
58, Local-gov, 268384, Bachelors, 13, Never-married, ?, Own-child, White, Male, 0, 0, 51, United-States, >50K
52, Private, 69424, Bachelors, 13, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 16, ?, <=50K
32, Self-emp-not-inc, 237014, Masters, 14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female, 2174, 0, 18, Mexico, <=50K
49, Self-emp-not-inc, 95475, HS-grad, 9, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Male, 5013, 0, 57, United-States, <=50K
24, ?, 102079, HS-grad, 9, Married-civ-spouse, Tech-support, Own-child, White, Male, 2174, 0, 10, Mexico, <=50K
33, Private, 239791, 11th, 7, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Female, 5013, 0, 69, United-States, >50K
55, Local-gov, 135368, 11th, 7, Married-civ-spouse, Tech-support, Own-child, Black, Female, 2174, 0, 60, Mexico, <=50K
70, Private, 105593, 11th, 7, Divorced, ?, Wife, Black, Male, 0, 0, 52, United-States, >50K
31, ?, 24697, Masters, 14, Married-civ-spouse, ?, Not-in-family, White, Female, 5013, 0, 36, Mexico, <=50K
65, Private, 185220, Masters, 14, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 16, United-States, <=50K
77, ?, 215745, Masters, 14, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Female, 0, 0, 55, United-States, <=50K
26, Self-emp-not-inc, 169675, Masters, 14, Divorced, Exec-managerial, Not-in-family, Black, Female, 0, 1902, 15, ?, >50K
18, Self-emp-not-inc, 22925, HS-grad, 9, Divorced, ?, Own-child, Black, Female, 0, 0, 15, Mexico, <=50K
60, ?, 81854, HS-grad, 9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female, 0, 0, 20, Mexico, <=50K
30, Private, 237485, Masters, 14, Married-civ-spouse, Craft-repair, Not-in-family, White, Male, 0, 1902, 57, United-States, <=50K
61, ?, 278800, 11th, 7, Married-civ-spouse, ?, Own-child, White, Female, 5013, 0, 46, United-States, <=50K
58, Local-gov, 217659, Bachelors, 13, Divorced, ?, Own-child, Asian-Pac-Islander, Female, 5013, 1902, 50, ?, <=50K
42, Local-gov, 67400, HS-grad, 9, Divorced, ?, Husband, Asian-Pac-Islander, Female, 0, 0, 57, ?, <=50K
68, Local-gov, 217956, Bachelors, 13, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female, 0, 0, 57, ?, <=50K
31, Self-emp-not-inc, 73636, 11th, 7, Divorced, Exec-managerial, Husband, White, Female, 0, 0, 67, Mexico, <=50K
65, Local-gov, 178464, 11th, 7, Never-married, Craft-repair, Husband, White, Male, 0, 0, 20, United-States, <=50K
76, Local-gov, 190108, HS-grad, 9, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male, 0, 0, 36, Mexico, <=50K
33, Local-gov, 170194, Bachelors, 13, Married-civ-spouse, Craft-repair, Wife, Black, Male, 0, 0, 8, Mexico, <=50K
27, Self-emp-not-inc, 66837, Masters, 14, Divorced, Craft-repair, Wife, Black, Male, 0, 1902, 51, ?, <=50K
40, Local-gov, 133332, HS-grad, 9, Divorced, Exec-managerial, Wife, White, Female, 0, 0, 14, Mexico, <=50K
78, Private, 122393, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Male, 0, 0, 23, United-States, <=50K
60, Private, 248995, 11th, 7, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, 0, 1902, 30, ?, <=50K
29, Private, 275302, Bachelors, 13, Never-married, Tech-support, Husband, Black, Female, 0, 0, 33, ?, >50K
77, Self-emp-not-inc, 244217, Masters, 14, Never-married, ?, Wife, White, Male, 0, 0, 9, United-States, <=50K
78, Private, 237161, Bachelors, 13, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female, 5013, 0, 5, Mexico, <=50K
70, Self-emp-not-inc, 233713, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 2174, 0, 35, Mexico, <=50K
38, Local-gov, 258499, Bachelors, 13, Divorced, Craft-repair, Own-child, White, Female, 0, 0, 32, Mexico, <=50K
75, Local-gov, 116900, 11th, 7, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female, 0, 0, 44, United-States, <=50K
64, Self-emp-not-inc, 38063, Bachelors, 13, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 5013, 0, 61, United-States, <=50K
25, Local-gov, 206887, Bachelors, 13, Never-married, Tech-support, Own-child, White, Female, 2174, 0, 48, United-States, <=50K
77, Private, 269484, 11th, 7, Never-married, Tech-support, Own-child, White, Female, 2174, 0, 59, United-States, <=50K
73, ?, 138548, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 10, United-States, >50K
32, ?, 212598, HS-grad, 9, Married-civ-spouse, Tech-support, Wife, White, Male, 0, 0, 49, ?, <=50K
28, Private, 163594, Bachelors, 13, Divorced, ?, Wife, White, Male, 0, 0, 7, United-States, >50K
38, Private, 174365, Masters, 14, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Male, 2174, 1902, 9, United-States, >50K
18, ?, 229994, HS-grad, 9, Divorced, Tech-support, Wife, White, Female, 0, 0, 56, ?, <=50K
44, ?, 53104, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, Black, Male, 0, 0, 43, United-States, >50K
52, Local-gov, 267952, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, Black, Female, 0, 1902, 59, ?, <=50K
75, ?, 142338, 11th, 7, Divorced, Craft-repair, Own-child, Asian-Pac-Islander, Female, 5013, 0, 26, ?, <=50K
42, Self-emp-not-inc, 198120, Masters, 14, Married-civ-spouse, Tech-support, Not-in-family, Black, Male, 2174, 0, 68, ?, <=50K
42, Local-gov, 280958, 11th, 7, Divorced, ?, Not-in-family, White, Male, 0, 1902, 66, United-States, <=50K
45, Private, 64367, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, 2174, 0, 37, United-States, >50K
20, Private, 276836, Bachelors, 13, Married-civ-spouse, Craft-repair, Wife, Black, Female, 5013, 0, 30, ?, <=50K
59, Self-emp-not-inc, 149405, HS-grad, 9, Divorced, Exec-managerial, Wife, White, Female, 0, 1902, 43, ?, <=50K
18, Local-gov, 266889, HS-grad, 9, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 38, Mexico, <=50K
56, Local-gov, 85681, 11th, 7, Divorced, Tech-support, Own-child, Black, Female, 2174, 0, 38, Mexico, <=50K
39, Private, 32000, 11th, 7, Never-married, ?, Husband, White, Male, 5013, 0, 24, ?, <=50K
61, Self-emp-not-inc, 34113, 11th, 7, Divorced, Exec-managerial, Not-in-family, Black, Female, 0, 0, 8, Mexico, <=50K
38, Private, 166432, Masters, 14, Never-married, ?, Not-in-family, White, Female, 0, 0, 65, ?, <=50K
54, Local-gov, 146523, HS-grad, 9, Married-civ-spouse, Exec-managerial, Own-child, White, Female, 0, 0, 50, Mexico, <=50K
32, ?, 61451, 11th, 7, Never-married, ?, Own-child, Black, Male, 2174, 0, 58, United-States, <=50K
20, Self-emp-not-inc, 116285, Bachelors, 13, Divorced, Exec-managerial, Wife, Black, Male, 0, 0, 63, United-States, >50K
29, Local-gov, 49406, 11th, 7, Divorced, Tech-support, Not-in-family, Black, Male, 2174, 1902, 21, Mexico, <=50K
58, Self-emp-not-inc, 234356, 11th, 7, Never-married, Tech-support, Husband, White, Male, 0, 1902, 56, United-States, <=50K
63, ?, 75370, 11th, 7, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male, 0, 0, 47, Mexico, <=50K
63, ?, 229095, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 1902, 31, Mexico, <=50K
37, Self-emp-not-inc, 32228, 11th, 7, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male, 2174, 1902, 53, ?, <=50K
35, Self-emp-not-inc, 258427, 11th, 7, Married-civ-spouse, Craft-repair, Wife, White, Male, 5013, 0, 48, ?, <=50K
39, ?, 156038, 11th, 7, Never-married, ?, Husband, Black, Male, 0, 0, 60, United-States, <=50K
70, ?, 54910, 11th, 7, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male, 2174, 0, 37, ?, <=50K
